trial_id,title,intervention_name,condition,phase,status,source_database
NCT04719338,Occult HCV Infection After DAAD Treatment in Haemodialysis Patients,presence of HCV RNA in peripheral blood mononuclear cells (PBMCs) .,Hepatitis C,NA,COMPLETED,ClinicalTrials.gov
NCT03619278,Evaluating a Combination of Immune-based Therapies to Achieve a Remission of HIV Infection,HIVACAR; placebo,HIV Infections,"PHASE1, PHASE2",WITHDRAWN,ClinicalTrials.gov
NCT00004985,"Combination Treatment Using Capravirine (AG1549), Nelfinavir, and Two Nucleoside Reverse Transcriptase Inhibitors in HIV Patients Who Failed Initial Combination Therapy",Capravirine; Nelfinavir mesylate,HIV Infections,PHASE2,COMPLETED,ClinicalTrials.gov
NCT04312308,A Study for Identification of Predictive Immune Biomarker for Atezolizumab Therapy in NSCLC Patients,Sample collection,Non Small Cell Lung Cancer,Not specified,COMPLETED,ClinicalTrials.gov
NCT06031714,Fetal Cell Receptors Repertoire,Saliva sampling; Blood sampling; Interviews; Clinical examination,Venous Ulcer; Sickle Cell Ulcer; Diabetic Ulcer; Post-partum Women; Mixed Ulcer,NA,RECRUITING,ClinicalTrials.gov
NCT03472326,Study to Evaluate the Efficacy of GS-9131 Functional Monotherapy in Human Immunodeficiency Virus (HIV)-1-Infected Adults Failing a Nucleos(t)Ide Reverse Transcriptase Inhibitor-Containing Regimen With Nucleos(t)Ide Reverse Transcriptase Inhibitor Resistant Virus,GS-9131; BIC; TAF; ARV regimen; DRV; RTV,HIV-1-infection,PHASE2,TERMINATED,ClinicalTrials.gov
NCT06351904,A Study of RAG-01 in Patients With Non-muscle-invasive Bladder Cancer (NMIBC) Who Have Failed Bacillus Calmette Guérin (BCG) Therapy,RAG-01,Non-Muscle-Invasive Bladder Cancer (NMIBC),PHASE1,RECRUITING,ClinicalTrials.gov
NCT03653247,"A Study to Assess the Safety, Tolerability, and Efficacy of BIVV003 for Autologous Hematopoietic Stem Cell Transplantation in Patients With Severe Sickle Cell Disease",Plerixafor; Busulfan; BIVV003,Sickle Cell Disease,"PHASE1, PHASE2",COMPLETED,ClinicalTrials.gov
NCT04025515,Molecular Profiling Project,Not specified,Lung Cancer; Non-Small Cell Lung Cancer,Not specified,RECRUITING,ClinicalTrials.gov
NCT04278768,Dose Escalation/ Expansion Study of CA-4948 as Monotherapy in Patients With Acute Myelogenous Leukemia (AML) or Myelodysplastic Syndrome (MDS),Emavusertib; Venetoclax; Emavusertib,Acute Myelogenous Leukemia; Myelodysplastic Syndrome,"PHASE1, PHASE2",RECRUITING,ClinicalTrials.gov
NCT00351403,Individually Adapted Therapy Duration for the Treatment of Chronic Hepatitis C Genotype 1 Infection,Ribavirin; Peginterferon alfa 2b,"Hepatitis C, Chronic",PHASE4,COMPLETED,ClinicalTrials.gov
NCT04792320,"Oral Absorbent and Probiotics in CKD Patients With PAD on Gut Microbiota, IncRNA, Metabolome, and Vascular Function",Active bamboo charcoal; probiotics,CKD; PAD - Peripheral Arterial Disease,NA,RECRUITING,ClinicalTrials.gov
NCT02853097,Cell-Free DNA and RNA in Blood fromMetastatic Prostate Cancer Patients,Cytology Specimen Collection Procedure; Laboratory Biomarker Analysis,Hormone-Resistant Prostate Cancer; Metastatic Prostate Carcinoma; Prostate Adenocarcinoma,Not specified,TERMINATED,ClinicalTrials.gov
NCT05556720,Bringing Optimised COVID-19 Vaccine Schedules To ImmunoCompromised Populations (BOOST-IC): an Adaptive Randomised Controlled Clinical Trial,Pfizer Bivalent COVID-19 Vaccine; Moderna Bivalent mRNA vaccine,"HIV; Organ Transplantation; Lymphoma, Non-Hodgkin; Chronic Lymphocytic Leukemia; Multiple Myeloma; COVID-19 Vaccines",PHASE3,ACTIVE_NOT_RECRUITING,ClinicalTrials.gov
NCT00691652,Clofarabine and Rituximab in Treating Patients With Relapsed Non-Hodgkin Lymphoma,rituximab; clofarabine; DNA methylation analysis; gene expression analysis; microarray analysis; polymerase chain reaction; high performance liquid chromatography; laboratory biomarker analysis,Lymphoma,"PHASE1, PHASE2",TERMINATED,ClinicalTrials.gov
NCT05046652,Effectiveness of Convalescent Plasma Therapy in 8 Non-Intubated COVID-19 Patients in Indonesia: A Case Series,Convalescent Plasma Therapy,Infectious Disease,Not specified,COMPLETED,ClinicalTrials.gov
NCT01353547,Genes and Environment in Multiple Sclerosis,Not specified,Multiple Sclerosis,Not specified,RECRUITING,ClinicalTrials.gov
NCT00007449,Safety and Effectiveness of the Drug DPC 083 in Combination With Nucleoside Analogue Reverse Transcriptase Inhibitors in HIV-1-Infected Patients Who Are Failing Treatment With Nonnucleoside Reverse Transcriptase Inhibitors,DPC 083,HIV Infections,PHASE2,UNKNOWN,ClinicalTrials.gov
NCT06381648,Detecting Lymph Node Metastasis in Intrahepatic Cholangiocarcinoma (LyMIC),LyMIC (Lymph Node Metastasis in Intrahepatic Cholangiocarcinoma),"Cholangiocarcinoma; Cholangiocarcinoma, Intrahepatic; Cholangiocarcinoma Resectable; Cholangiocarcinoma; Liver",Not specified,COMPLETED,ClinicalTrials.gov
NCT07150598,Immune-Marker Platform for Patients With Advanced Lung Cancer,Not specified,NSCLC (Advanced Non-small Cell Lung Cancer); NSCLC Stage IIIB~IV; NSCLC Non-small Cell Lung Cancer,Not specified,NOT_YET_RECRUITING,ClinicalTrials.gov
NCT06987916,Efficacy and Safety Evaluation of U01(ssCART-19) in B-Cell Lymphoma,ssCART-19,B Cell Lymphoma,"PHASE1, PHASE2",RECRUITING,ClinicalTrials.gov
NCT01684241,RBL001/RBL002 Phase I Clinical Trial,RBL001/RBL002,Melanoma,PHASE1,COMPLETED,ClinicalTrials.gov
NCT06397677,Defining the Molecular and Radiologic Phenotype of Progressive RA Interstitial Lung Disease,Research Testing Performed (Laboratory); Information Collected as Standard of Care; Research Testing Performed,Rheumatoid Arthritis; Interstitial Lung Disease,Not specified,RECRUITING,ClinicalTrials.gov
NCT06751251,The Exploration of OX40 (CD134) Expression Levels in Sarcoma Specimens and Its Clinical Application in Prognosis Determination,IHC: Immunohistochemistry; RNA-seq,Sarcoma; Biomarkers; Progression,Not specified,ACTIVE_NOT_RECRUITING,ClinicalTrials.gov
NCT01189695,Maintenance Boosted Lopinavir Monotherapy Following Salvage Protease-inhibitor (PI) Based Regimen in HIV With Non-nucleoside Reverse Transcriptase Inhibitors (NNRTI) Based Regimen Failure,Ritonavir-boosted lopinavir; optimized background regimens (OBRs),HIV; AIDS; Lopinavir; Treatment Failure,PHASE4,COMPLETED,ClinicalTrials.gov
NCT00001129,A Study of Two Adherence Plans to Help HIV-Positive Patients Take Their Medications Correctly,Electronic Medication Reminder System; Medication Manager,HIV Infections,NA,COMPLETED,ClinicalTrials.gov
NCT06952842,Safety and Efficacy of ZVS203e in the Treatment of Retinitis Pigmentosa Caused by RHO Gene Mutation,ZVS203e,Retinitis Pigmentosa,"PHASE1, PHASE2",NOT_YET_RECRUITING,ClinicalTrials.gov
NCT04125472,Expanded Access Protocol to Provide Lumasiran to Patients With Primary Hyperoxaluria Type 1,Lumasiran,Primary Hyperoxaluria,Not specified,APPROVED_FOR_MARKETING,ClinicalTrials.gov
NCT04053114,MOLecular Characterization and Treatment of THYroid Carcinoma on Struma Ovarii,DNA and RNA extraction from FFPE or frozen tissue sample,Ovarian Cancer,Not specified,WITHDRAWN,ClinicalTrials.gov
NCT07000890,Rheumatoid Arthritis Synovial Tissue Biopsy Study,Synovial Biopsy,Rheumatoid Arthritis,NA,COMPLETED,ClinicalTrials.gov
NCT06271980,Early-Onset Colorectal Cancer Recurrence,ENCORE,Colorectal Cancer Recurrent; Colorectal Cancer; Colorectal Neoplasms; Colorectal Adenocarcinoma; Colorectal Cancer Stage I; Colorectal Cancer Stage II; Colorectal Cancer Stage III,Not specified,COMPLETED,ClinicalTrials.gov
NCT01079741,Safety Study of Adjuvant Vaccine to Treat Melanoma Patients,NY-ESO-1 protein; Poly-ICLC; Montanide,Melanoma,"PHASE1, PHASE2",COMPLETED,ClinicalTrials.gov
NCT06556394,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of RAG-17 in Subjects With Amyotrophic Lateral Sclerosis (ALS) With Superoxide Dismutase Type 1 (SOD1) Gene Mutation",RAG-17; Placebo,Amyotrophic Lateral Sclerosis,PHASE1,RECRUITING,ClinicalTrials.gov
NCT03776760,Strategies for Hepatitis C Testing and Treatment in Aboriginal Communities That Lead to Elimination,Fingerstick GeneXpert HCV RNA quantitative assay; sofosbuvir/velpatesvir; glecaprevir/pibrentasvir,"Hepatitis C; Hepatitis; Liver Diseases; Hepatitis, Viral, Human; RNA Virus Infections; Digestive System Diseases",Not specified,UNKNOWN,ClinicalTrials.gov
NCT04533282,Epitranscriptomic Blood Biomarkers for Coronary Artery Disease - A Prospective Cohort Study (IHD-EPITRAN),"Blood samples.; Collection of right atrial appendage tissue sample.; Health Survey, Clinical symptom scaling; Transthoracic echocardiography (TTE)",Ischemic Heart Disease; Coronary Artery Disease; Aortic Valve Stenosis; Acute Myocardial Infarction,Not specified,UNKNOWN,ClinicalTrials.gov
NCT00002224,Comparison of Two Anti-HIV Regimens That Include One of Two Forms of Didanosine (ddI),Nelfinavir mesylate; Stavudine; Didanosine,HIV Infections,PHASE3,COMPLETED,ClinicalTrials.gov
NCT05883254,"Pumilio1 (PUM1) Expression, Sickle Cell Anemia, β-thalassemia Intermedia",RNA Binding Protein Pumilio1 (PUM1) Expression by reverse transcriptase quantatative PCR,"Sickle Cell Disease, Beta Thalassemia Intermedia",Not specified,NOT_YET_RECRUITING,ClinicalTrials.gov
NCT03984123,The Acute and Chronic Effects of Remote Ischemic Conditioning on Cardiovascular Function,"Brachial cuff, in order to achieve ischemic stimuli",Acute Myocardial Infarction,NA,UNKNOWN,ClinicalTrials.gov
NCT00960427,Studying Biomarkers in Tumor Tissue and Blood Samples From Patients Undergoing Chemotherapy and Radiation Therapy for Stage II or Stage III Rectal Cancer That Can Be Removed By Surgery,systemic chemotherapy; RNA analysis; gene expression analysis; reverse transcriptase-polymerase chain reaction; immunohistochemistry staining method; laboratory biomarker analysis; endoscopic biopsy; neoadjuvant therapy; sigmoidoscopy; radiation therapy,Colorectal Cancer,PHASE1,WITHDRAWN,ClinicalTrials.gov
NCT04253496,Mathematic Modeling at Micro and Macroscopic Level of Primary Central Nervous System Lymphomas (PCNSL),Tumor samples and MRI,Primary Central Nervous System Lymphoma (PCNSL),Not specified,UNKNOWN,ClinicalTrials.gov
NCT01849588,HCV-RNA Kinetics During Sorafenib for Hepatocellular Carcinoma (HCC),Sorafenib,Hepatocellular Cancer,PHASE4,TERMINATED,ClinicalTrials.gov
NCT06427278,Implication of Long Non-coding RNA CCDC144NL-AS1/Micro RNA-143-3p Axis Expression Level as Novel Signature in Colorectal Cancer,Not specified,Colorectal Cancer,Not specified,COMPLETED,ClinicalTrials.gov
NCT06891443,Study to Evaluate Sepofarsen in Subjects With Leber Congenital Amaurosis (LCA) Type 10 (HYPERION),sepofarsen; Placebo IVT,"Leber Congenital Amaurosis 10; Blindness; Leber Congenital Amaurosis; Sensation Disorders; Vision Disorder; Neurological Manifestations; Eye Diseases, Hereditary; Eye Diseases; Eye Disorders Congenital; Retinal Disease",PHASE3,RECRUITING,ClinicalTrials.gov
NCT03495921,A Trial For Participants With Ewing's Sarcoma Treated With Vigil in Combination With Irinotecan and Temozolomide,Vigil; Irinotecan; Temozolomide,"Ewing Sarcoma; Ewing Family of Tumors; Ewing's Tumor Metastatic; Ewing's Sarcoma Metastatic; Ewing's Tumor Recurrent; Rare Diseases; Sarcoma; Neoplasms, Connective and Soft Tissue; Neoplasms by Histologic Type; Neoplasms, Bone Tissue; Neoplasms, Connective Tissue; Sarcoma, Ewing; Neoplasms",PHASE3,TERMINATED,ClinicalTrials.gov
NCT00710593,Impact of a Human Papilloma Virus (HPV) Vaccine in HIV-Infected Young Women,"HPV vaccine for strains -6, -11, -16, and -18",HIV Infection,PHASE2,COMPLETED,ClinicalTrials.gov
NCT00130247,Tuberculosis Treatment Shortening Trial,Ethambutol; Isoniazid; Pyrazinamide; Rifampin,Tuberculosis,PHASE3,COMPLETED,ClinicalTrials.gov
NCT03149289,Hepatitis C Virus Infection in Patients With Hemoglobinopathies,Antiviral drugs,"Hepatitis C, Chronic; Hemoglobinopathies",Not specified,COMPLETED,ClinicalTrials.gov
NCT03627546,"HCV Seek, Test and Rapid Treatment for Young PWID",Rapid Treatment strategy; Usual Care (facilitated referral),Hepatitis C; Drug Use,NA,COMPLETED,ClinicalTrials.gov
NCT01006031,Retreatment With High Doses of pegIFN Alfa-2a and Ribavirin of Previous Nonresponders HIV-coinfected Patients With Cirrhosis Due to HCV 1-4,Pegylated interferon alfa-2a and Ribavirin,Liver Cirrhosis; Hepatitis C Virus; HIV Infection,"PHASE2, PHASE3",COMPLETED,ClinicalTrials.gov
NCT06627179,Study to Evaluate Ultevursen in Subjects With Retinitis Pigmentosa (RP) Due to Mutations in Exon 13 of the USH2A Gene,"Intravitreal Injection of Ultevursen; No intervention, will not receive any active study intervention","Retinitis Pigmentosa (RP); Usher Syndrome Type 2; Deaf Blind; Retinal Disease; Eye Diseases, Hereditary; Eye Disorders Congenital; Vision Disorders",PHASE2,RECRUITING,ClinicalTrials.gov
NCT03895294,Effect of Strategies for the Treatment of Chronic Hepatitis C in Colombia,Health care under the strategic purchase-Clinical pathway; Usual care process prior strategic purchase-clinical pathway,Hepatitis C,NA,UNKNOWN,ClinicalTrials.gov
NCT04843761,ACTIV-3b: Therapeutics for Severely Ill Inpatients With COVID-19,Remdesivir; Remdesivir Placebo; Aviptadil; Aviptadil Placebo; Corticosteroid,Covid19,PHASE3,COMPLETED,ClinicalTrials.gov
NCT00593151,"Study of Safety, Tolerability, and Anti-Viral Effect of Locteron Compared to PEG-Intron in Patients With Chronic Hepatitis C",Locteron (controlled-release interferon alpha 2b); pegylated IFNa2b,Hepatitis C,"PHASE1, PHASE2",COMPLETED,ClinicalTrials.gov
NCT05780541,PF-07304814 for Inpatients With COVID-19 (An ACTIV-3/TICO Treatment Trial),PF-07304814; Placebo; Remdesivir,COVID-19,PHASE3,TERMINATED,ClinicalTrials.gov
NCT05769569,Safety and Efficacy of Neutralizing Antibodies and Vaccination for Induction of HIV Remission,VRC07-523LS; PGDM1400LS; N-803; Ad26.Mos4.HIV; MVA-BN-HIV; A244d11 gp120; ALFQ; Antiretroviral Therapy (ART),HIV-1-infection,PHASE1,WITHDRAWN,ClinicalTrials.gov
NCT06489431,Irrisept vs Traditional Antibiotic Irrigation for Virgin Penile Prosthesis Placement,Chlorhexidine; Gentamicin; Rifampin,"Erectile Dysfunction; Penile Prosthesis; Complications, Infection or Inflammation",PHASE3,ACTIVE_NOT_RECRUITING,ClinicalTrials.gov
NCT02316457,RNA-Immunotherapy of IVAC_W_bre1_uID and IVAC_M_uID,IVAC_W_bre1_uID; IVAC_W_bre1_uID/IVAC_M_uID,Breast Cancer (Triple Negative Breast Cancer (TNBC)),PHASE1,COMPLETED,ClinicalTrials.gov
NCT00967954,Study of Blood and Tissue Samples From Patients Receiving Androgen Deprivation for Newly Diagnosed Prostate Cancer,antiandrogen therapy; releasing hormone agonist therapy; DNA analysis; RNA analysis; comparative genomic hybridization; gene expression analysis; laboratory biomarker analysis; diffusion-weighted magnetic resonance imaging; magnetic resonance spectroscopic imaging,Prostate Cancer,NA,UNKNOWN,ClinicalTrials.gov
NCT02707601,"Efficacy, Safety, and Tolerability of Ledipasvir/Sofosbuvir (LDV/SOF) Treatment for HIV/HCV Co-infected Participants Who Switch to Elvitegravir/Cobicistat/Emtricitabine/Tenofovir Alafenamide (E/C/F/TAF) or Emtricitabine/Rilpivirine/Tenofovir Alafenamide (F/R/TAF) Prior to LDV/SOF HCV Treatment",E/C/F/TAF; F/R/TAF; LDV/SOF,HIV-1 Infection; HCV Infection,PHASE3,COMPLETED,ClinicalTrials.gov
NCT00689065,Safety Study of CALAA-01 to Treat Solid Tumor Cancers,CALAA-01,Cancer; Solid Tumor,PHASE1,TERMINATED,ClinicalTrials.gov
NCT01316237,"A Study Evaluating the Safety, Tolerability, Pharmacokinetics and Antiviral Activity of GS-6620 in Treatment Naïve Subjects With Chronic Hepatitis C Virus Infection","GS-6620; GS-6620; GS-6620; GS-6620; GS-6620; GS-6620; GS-6620 tablet, 450 mg BID; GS-6620 tablet; GS-6620 tablet","Hepatitis C, Chronic",PHASE1,COMPLETED,ClinicalTrials.gov
NCT00006064,The Effect of Anti-HIV Treatment on Body Characteristics of HIV-Infected Children,Not specified,HIV Infections; HIV Wasting Syndrome; Lipodystrophy,Not specified,COMPLETED,ClinicalTrials.gov
NCT01925183,Individualized Triple-therapy Using Boceprevir in HIV-positive Patients With Hepatitis C,Pegylated interferon alpha-2a; Ribavirin; Boceprevir,"Hepatitis C, Chronic; HIV",PHASE4,COMPLETED,ClinicalTrials.gov
NCT05504772,Precision Medicine for Every Child With Cancer,Whole Genome Sequencing; RNA seq; DNA Methylation; Targeted Panel Sequencing; High Throughput Sequencing (in vitro); Patient Derived Xenograft (PDX)(in vivo); Liquid Biopsy,Childhood Cancer; Childhood Solid Tumor; Childhood Brain Tumor; Childhood Leukemia; Refractory Cancer; Relapsed Cancer,Not specified,RECRUITING,ClinicalTrials.gov
NCT00004981,Safety and Effectiveness of Three Anti-HIV Drugs Combined in One Pill (Trizivir),"Abacavir sulfate, Lamivudine and Zidovudine; Lamivudine/Zidovudine; Abacavir sulfate",HIV Infections,PHASE3,UNKNOWN,ClinicalTrials.gov
NCT00000859,A Randomized Trial of the Efficacy and Safety of a Strategy of Starting With Nelfinavir Versus Ritonavir Added to Background Antiretroviral (AR) Nucleoside Therapy in HIV-Infected Individuals With CD4+ Cell Counts Less Than or Equal to 200/mm3,Indinavir sulfate; Ritonavir; Nelfinavir mesylate,HIV Infections,NA,COMPLETED,ClinicalTrials.gov
NCT00520273,"A Prospective Study to Evaluate the Specificity of the Cobas TaqScreen MPX Test for Use on the Cobas s 201 System for Screening Plasma Pools From Source Plasma Donors for the Presence of HBV DNA, HCV RNA, and HIV-1 RNA",cobas s 201 TaqScreen MPX Test,Healthy Volunteer,NA,COMPLETED,ClinicalTrials.gov
NCT01992029,Study of miRNA Expression Pattern as Diagnostic and Prognostic Biomarker in Amyotrophic Lateral Sclerosis,Clinical evaluation; Muscular biopsy; Lumbar puncture; Blood sampling; Neurological assessments; Neuro-muscular biopsy and lumbar puncture; Muscular biopsy; Blood sample; Cervical spinal cord and brain MRI,Amyotrophic Lateral Sclerosis; ALS,Not specified,TERMINATED,ClinicalTrials.gov
NCT02249962,"Option B+: Study on Safety, Viral Suppression, and Survival on Second Line ART",Not specified,HIV; Infant Exposure to Efavirenz,Not specified,COMPLETED,ClinicalTrials.gov
NCT00305383,Viral Kinetic Study With Viramidine in Therapy-Naive Patients With Chronic Hepatitis C,Viramidine; Peginterferon alfa-2b,"Hepatitis C, Chronic",PHASE2,TERMINATED,ClinicalTrials.gov
NCT06272864,BostonGene and Exigent Genomic INsight Study,Not specified,Breast Cancer; Non-small Cell Lung Cancer; Melanoma; Sarcoma,Not specified,RECRUITING,ClinicalTrials.gov
NCT00543244,Early Prediction of Successful Treatment for Chronic Hepatitis C Virus Infection in Taiwan,Pegylated interferon alfa and ribavirin,Chronic Hepatitis C,Not specified,UNKNOWN,ClinicalTrials.gov
NCT00002400,A Study of Two Anti-HIV Drug Combinations in HIV-Infected Patients,Indinavir sulfate; Delavirdine mesylate; Lamivudine; Zidovudine,HIV Infections,NA,COMPLETED,ClinicalTrials.gov
NCT05070234,Genetic Diagnosis and Human Growth Hormone Treatment in Small for Gestational Age Children With Short Stature,Blood collection for genetic analysis,"Small for Gestational Age Infant; Silver-Russell Syndrome; Genetic Diseases, Inborn",Not specified,UNKNOWN,ClinicalTrials.gov
NCT04835454,"Role of Piwi-protein Interacting RNA, miRNA-194 and Amino Acids in Patients With Prostate Cancer","piRNAs, miRNA-194, regucalcin and plasma aminoacids levels",Finding New Biomarkers That Could be Evaluated in Patients With Prostate Cancer and Clarify Their Role in Early Detection of Prostate Cancer,Not specified,UNKNOWN,ClinicalTrials.gov
NCT00494936,Effects of HIV and Hepatitis C Virus on the Brain,Not specified,HIV Infections; Hepatitis C,Not specified,COMPLETED,ClinicalTrials.gov
NCT06008392,"INTERogating Cancer for Etiology, Prevention and Therapy Navigation",Pan-genomic Testing,Cancer; Cancer Gene Mutation; PAN Gene Mutation; Hematopoietic and Lymphoid System Neoplasm; Malignant Solid Neoplasm,Not specified,RECRUITING,ClinicalTrials.gov
NCT07041671,Evaluation Viral RNA and Virus Infectivity in Exhaled Air Before and After Use of One Dose With ColdZyme Mouth Spray,ColdZyme,URTI - Viral Upper Respiratory Tract Infection,NA,NOT_YET_RECRUITING,ClinicalTrials.gov
NCT01293279,"HCV (Hepatitis C Virus) Viral and Host Genotyping (IL28B, Interleukin 28B) in China",Not specified,Hepatitis C,Not specified,COMPLETED,ClinicalTrials.gov
NCT00687544,Efficacy and Safety of PegIntron Plus Ribavirin for Treatment of Chronic Hepatitis C in HIV-Infected Subjects (Study P04469)(TERMINATED),Peginterferon alfa-2b (SCH 054031); Ribavirin (SCH 018908),"Hepatitis C, Chronic; Hepacivirus; HIV Infections",PHASE4,TERMINATED,ClinicalTrials.gov
NCT04782271,"Safety, Tolerability and Pharmacokinetic Profile of SYL1801 Eye Drops",SYL18001 sodium Low dose q.d; SYL18001 sodium Middle dose q.d; SYL18001 sodium High dose q.d; SYL18001 sodium High dose b.i.d,"Safety, Tolerability and Pharmacokinetic Profile in Healthy Volunteers; Choroidal Neovascularization",PHASE1,COMPLETED,ClinicalTrials.gov
NCT03161223,"Durvalumab in Different Combinations With Pralatrexate, Romidepsin and Oral 5-Azacitidine for Lymphoma",Durvalumab; Pralatrexate; Romidepsin; 5-Azacitidine,"Lymphoma, T-Cell","PHASE1, PHASE2",RECRUITING,ClinicalTrials.gov
NCT03935373,DNA Exome Sequencing TCM for Sjögren's Syndrome,"DNA Exome sequencing; Oral microbiome; Proteomics; RNA sequencing; Cytokine; Traditional Chinese Medicine pattern; Traditional Chinese Medicine tongue diagnosis; Traditional Chinese Medicine pulse diagnosis; Heart rate variability; Schirmer's test; Blood function test, liver function test, kidney function test, and immune function test",Sjögren's Syndrome,Not specified,UNKNOWN,ClinicalTrials.gov
NCT03492112,A TEst and Treat Intervention aMong Current People Who Inject Drugs With HCV Attending Needle and Syringe PrOgrams,HCV RNA Point of Care; Sofosbuvir/velpatasvir; Glecaprevir/pibrentasvir,Hepatitis C,NA,COMPLETED,ClinicalTrials.gov
NCT02580981,Acute Lymphoblastic Leukemia Therapies Informed by Genomic Analyses,Acute Lymphobastic Leukemia (ALL) Treatment Options,"Leukemia, Acute Lymphoblastic",NA,TERMINATED,ClinicalTrials.gov
NCT01319526,Biomarkers in Blood Samples From Patients With HIV Infection and Stage III or Stage IV Hodgkin Lymphoma Undergoing Chemotherapy,DNA analysis; RNA analysis; laboratory biomarker analysis,Lymphoma; Nonneoplastic Condition,Not specified,TERMINATED,ClinicalTrials.gov
NCT03577782,Vedolizumab Treatment in HIV-Infected Subjects Without Previous Antiretroviral Therapy,Entyvio (Vedolizumab),HIV Infections,"PHASE1, PHASE2",UNKNOWN,ClinicalTrials.gov
NCT04518410,ACTIV-2: A Study for Outpatients With COVID-19,"bamlanivimab 7000mg; BRII-196+BRII-198; AZD7442 (IV); AZD7442 (IM); SNG001; Camostat; BMS-986414 + BMS-986413; SAB-185 (3,840 Units/kg); SAB-185 (10,240 Units/kg); CASIRIVIMAB + IMDEVIMAB; Placebo for Bamlanivimab 7000mg; Placebo for Bamlanivimab 700mg; Placebo for BRII-196+BRII-198; Placebo for SNG001; Placebo for Camostat; Placebo for SAB-185 (low dose); Placebo for BMS-986414 + BMS-986413; Placebo for AZD7442 (IV); Placebo for AZD7442 (IM); Placebo for SAB-185 (high dose); bamlanivimab 700mg",Coronavirus; Covid19,"PHASE2, PHASE3",COMPLETED,ClinicalTrials.gov
NCT06471335,Fetal Alcohol Spectrum Disorder : Clinical Description and Search for Epigenetic Biomarker (EPI-TSAF),Extraction of microRNAs extracted from plasma (4 ml recovered as part of treatment); Extraction of microRNAs extracted from bucal swabs (act added for research).,Fetal Alcohol Spectrum Disorders,NA,COMPLETED,ClinicalTrials.gov
NCT05837455,"NeoTAILOR: ABiomarker-directed Approach to Guide Neoadjuvant Therapy for Patients With Stage II/III ER-positive, HER2-negative Breast Cancer",VENTANA MIB-1 Ki67 assay; Oncotype DX® Recurrence Score; PAM50-based Prosigna breast cancer gene signature assay; Anastrozole; Combination anthracycline and/or taxane based treatment,Breast Cancer; Cancer of the Breast,PHASE2,RECRUITING,ClinicalTrials.gov
NCT00004585,A Study of the Safety and Effectiveness of Combination Anti-HIV Therapy in HIV-Infected Adults,"Abacavir sulfate, Lamivudine and Zidovudine; Lamivudine/Zidovudine; Abacavir sulfate; Efavirenz",HIV Infections,PHASE4,COMPLETED,ClinicalTrials.gov
NCT00323440,Inflammatory Proteins in Familial Mediterranean Fever During Attack and Remission,Not specified,Familial Mediterranean Fever,Not specified,WITHDRAWN,ClinicalTrials.gov
NCT00002215,"A Randomized, Double-Blind Study of MKC-442 Combined With Viracept in Patients Who Are Epivir + Retrovir Experienced and Are Protease Inhibitor- and Non-Nucleoside Reverse Transcriptase Inhibitor-Naive",Emivirine; Nelfinavir mesylate,HIV Infections,NA,COMPLETED,ClinicalTrials.gov
NCT02190227,RNA Disruption Assay (RDA) Response Prediction in Neoadjuvant Chemotherapy Breast Cancer Treatment,Tumor RDA biopsy,Invasive Breast Cancer,PHASE2,COMPLETED,ClinicalTrials.gov
NCT06291623,Molecular Analysis of Intracanal Microbes After Chemomechanical Procedure and Root Canal Medication: A Randomized Controlled Trial,Glycyrrhizin,Bacterial Viability of Necrotic Pulp With Asymptomatic Apical Periodontitis,PHASE1,COMPLETED,ClinicalTrials.gov
NCT03140969,Study to Evaluate QR-110 in Leber's Congenital Amaurosis (LCA) Due to the c.2991+1655A>G Mutation (p.Cys998X) in the CEP290 Gene,QR-110,Leber's Congenital Amaurosis,"PHASE1, PHASE2",COMPLETED,ClinicalTrials.gov
NCT02652546,CC-11050 in Human Immunodeficiency Virus-1-Infected Adults With Suppressed Plasma Viremia on Antiretroviral Therapy (APHRODITE),Assess Safety; Effect of drug on viral load; Effect of drug on T-cell count; Effect of drug on inflammatory biomarkers,"HIV, Inflammation",PHASE1,COMPLETED,ClinicalTrials.gov
NCT03725280,Micro RNA Profile in the Ovarian Follicle Fluid of Transgender Men,IVF,IVF; Fertility Preservation; Infertility,Not specified,UNKNOWN,ClinicalTrials.gov
NCT02094872,Molecularly Targeted Therapy in Treating Patients With BRAF Wild-type Melanoma That is Metastatic,cytology specimen collection procedure; MEK 162 therapy or molecularly targeted therapy; therapeutic procedure; laboratory biomarker analysis; quality-of-life assessment,Recurrent Melanoma; Stage IIIA Melanoma; Stage IIIB Melanoma; Stage IIIC Melanoma; Stage IV Melanoma,PHASE2,COMPLETED,ClinicalTrials.gov
NCT01197157,Study of the Impact of Nitazoxanide on Chronic Hepatitis Patients,Placebo; Nitazoxanide,Hepatitis C,"PHASE2, PHASE3",COMPLETED,ClinicalTrials.gov
NCT05466981,HCV-Smoking Cessation Study,Cognitive Behavioral Counseling,Hepatitis C; Smoking Cessation,NA,COMPLETED,ClinicalTrials.gov
NCT01716156,A Study of Different Durations of Treatment With Grazoprevir (MK-5172) in Combination With Ribavirin in Participants With Chronic Hepatitis C (MK-5172-039),Grazoprevir; Ribavirin,Hepatitis C,PHASE2,COMPLETED,ClinicalTrials.gov
